machine,working_set_bytes,footprint_bytes,node_spacing_bytes,traversal_order,N_per_batch,unit,n_samples,median,mean,sd,q1,q3,iqr,p5,p95,min,max,n_outliers,outlier_fraction,num_nodes,warmup_steps,warmup_laps,seed,migrated_excluded,logical_cpu,source_raw_file
charnwood,1482880,1482880,64,randomized,1000,TSC_ticks_per_access,1000000,86.692,175.3131152599999,949.8315498177224,85.97,87.49,1.519999999999996,81.97,94.242,58.458,20752.596,182560,0.18256,23170,23170,1.000,20260904,0,6,capacity_ws1482880_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,2097152,2097152,64,randomized,1000,TSC_ticks_per_access,1000000,93.922,230.659920904,1092.6294412525685,88.818,102.812,13.994,87.282,259.83009999999985,59.812,20663.48,183218,0.183218,32768,32768,1.000,20260904,0,6,capacity_ws2097152_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,2965760,2965760,64,randomized,1000,TSC_ticks_per_access,1000000,119.014,256.431477436,1148.6529002795203,101.49,141.574,40.08400000000002,95.5879,213.33219999999972,61.152,20780.666,62144,0.062144,46340,46340,1.000,20260904,0,6,capacity_ws2965760_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,4194304,4194304,64,randomized,1000,TSC_ticks_per_access,1000000,280.518,557.0446514679999,1677.525419603342,258.22,297.05,38.829999999999984,236.54,320.26,144.076,20839.624,28414,0.028414,65536,65536,1.000,20260904,0,6,capacity_ws4194304_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,5931584,5931584,64,randomized,1000,TSC_ticks_per_access,1000000,302.018,604.8895425339999,1744.2544835585675,290.704,310.054,19.349999999999966,279.196,331.91,216.804,20847.69,35907,0.035907,92681,92681,1.000,20260904,0,6,capacity_ws5931584_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,8388608,8388608,64,randomized,1000,TSC_ticks_per_access,1000000,321.446,647.8084516740001,1802.4630907833434,316.692,326.076,9.384000000000015,309.344,349.712,245.632,20841.42,110599,0.110599,131072,131072,1.000,20260904,0,6,capacity_ws8388608_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,11863232,11863232,64,randomized,1000,TSC_ticks_per_access,1000000,336.786,680.1077716719997,1845.704468508793,334.096,340.024,5.927999999999997,330.248,364.612,264.39,20871.068,126259,0.126259,185363,185363,1.000,20260904,0,6,capacity_ws11863232_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,16777216,16777216,64,randomized,1000,TSC_ticks_per_access,1000000,303.336,612.2912353179998,1753.5240631071213,293.162,308.866,15.704000000000008,287.572,360.76419999999973,255.168,20868.382,95376,0.095376,262144,262144,1.000,20260904,0,6,capacity_ws16777216_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,23726528,23726528,64,randomized,1000,TSC_ticks_per_access,1000000,293.366,593.713189508,1729.1182739264016,289.134,297.23,8.096000000000004,280.974,326.6340999999999,271.258,20871.336,140756,0.140756,370727,370727,1.000,20260904,0,6,capacity_ws23726528_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,33554432,33554432,64,randomized,1000,TSC_ticks_per_access,1000000,298.886,604.991478554,1743.4976709298517,295.63,302.12,6.490000000000009,286.094,335.806,273.254,20856.088,203056,0.203056,524288,524288,1.000,20260904,0,6,capacity_ws33554432_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,47453120,47453120,64,randomized,1000,TSC_ticks_per_access,1000000,371.474,722.3330702520002,1900.5850056803665,330.8935,380.702,49.80849999999998,304.774,411.978,284.55,20984.73,35742,0.035742,741455,741455,1.000,20260904,0,6,capacity_ws47453120_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,67108864,67108864,64,randomized,1000,TSC_ticks_per_access,1000000,379.682,766.0345676519999,1954.012297063598,377.788,382.102,4.3139999999999645,374.596,411.162,290.62,20910.802,166900,0.1669,1048576,1048576,1.000,20260904,0,6,capacity_ws67108864_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,94906240,94906240,64,randomized,1000,TSC_ticks_per_access,1000000,391.594,782.8901316180003,1976.0924958155658,388.54,394.524,5.9839999999999804,353.996,433.25009999999986,298.138,20914.396,293323,0.293323,1482910,1482910,1.000,20260904,0,6,capacity_ws94906240_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,134217728,134217728,64,randomized,1000,TSC_ticks_per_access,1000000,400.866,755.8072356719997,1942.5343978844976,331.126,405.532,74.406,321.978,436.0880999999999,305.612,20969.364,37125,0.037125,2097152,2097152,1.000,20260904,0,6,capacity_ws134217728_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,189812480,189812480,64,randomized,1000,TSC_ticks_per_access,1000000,411.776,832.389183026,2042.4055482821987,409.682,414.566,4.883999999999958,406.614,441.358,316.458,20982.594,154465,0.154465,2965820,2965820,1.000,20260904,0,6,capacity_ws189812480_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,268435456,268435456,64,randomized,1000,TSC_ticks_per_access,1000000,335.174,677.1890540859997,1839.4815108520238,333.052,338.7425,5.690499999999986,330.284,362.00009999999986,315.198,20883.858,129403,0.129403,4194304,4194304,1.000,20260904,0,6,capacity_ws268435456_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,379625024,379625024,64,randomized,1000,TSC_ticks_per_access,1000000,437.116,904.1850594879996,2117.8676163226114,429.068,466.7525,37.684500000000014,410.278,584.258,328.702,21140.174,130040,0.13004,5931641,5931641,1.000,20260904,0,6,capacity_ws379625024_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,536870912,536870912,64,randomized,1000,TSC_ticks_per_access,1000000,398.02700000000004,814.5446377039998,2013.9409963981502,381.972,418.662,36.69,369.008,598.5385999999992,336.606,21332.858,81280,0.08128,8388608,8388608,1.000,20260904,0,6,capacity_ws536870912_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,4096,4096,64,sequential,1000,TSC_ticks_per_access,1000000,15.972,32.127101708,410.27970526845206,15.942,16.0,0.05799999999999983,15.12,16.176,10.91,20516.436,240750,0.24075,64,10000,156.250,20260904,0,6,capacity_ws4096_sp64_seq_charnwood_20260910-161412.csv.gz
charnwood,5760,5760,64,sequential,1000,TSC_ticks_per_access,1000000,16.922,34.229242149999976,423.9711124554907,16.898,16.958,0.05999999999999872,16.862,17.282,10.98,20540.1,196676,0.196676,90,10000,111.111,20260904,0,6,capacity_ws5760_sp64_seq_charnwood_20260910-161412.csv.gz
charnwood,8192,8192,64,sequential,1000,TSC_ticks_per_access,1000000,15.138,29.219432486000006,390.50790336253243,12.714,15.97,3.2560000000000002,11.132,16.104,10.598,27327.352,5469,0.005469,128,10000,78.125,20260904,0,6,capacity_ws8192_sp64_seq_charnwood_20260910-161412.csv.gz
charnwood,11584,11584,64,sequential,1000,TSC_ticks_per_access,1000000,15.132,28.663831172000013,386.4168086345307,11.978,15.972,3.9939999999999998,11.052,16.12,10.848,20530.474,5093,0.005093,181,10000,55.249,20260904,0,6,capacity_ws11584_sp64_seq_charnwood_20260910-161412.csv.gz
charnwood,16384,16384,64,sequential,1000,TSC_ticks_per_access,1000000,11.066,22.45587243599999,342.01224041017497,11.05,11.088,0.03799999999999848,11.028,11.324,10.512,20511.39,172222,0.172222,256,10000,39.062,20260904,0,6,capacity_ws16384_sp64_seq_charnwood_20260910-161412.csv.gz
charnwood,23168,23168,64,sequential,1000,TSC_ticks_per_access,1000000,11.298,22.85537047799999,345.44935338573606,11.2,11.346,0.1460000000000008,11.054,11.6,10.504,27319.854,76994,0.076994,362,10000,27.624,20260904,0,6,capacity_ws23168_sp64_seq_charnwood_20260910-161412.csv.gz
charnwood,32768,32768,64,sequential,1000,TSC_ticks_per_access,1000000,11.766,24.004226120000002,353.97005620753185,11.692,11.862,0.16999999999999993,11.42,12.306,10.908,20510.152,154377,0.154377,512,10000,19.531,20260904,0,6,capacity_ws32768_sp64_seq_charnwood_20260910-161412.csv.gz
charnwood,46336,46336,64,sequential,1000,TSC_ticks_per_access,1000000,24.468,46.866356116,494.6833694633655,19.602,25.758,6.155999999999999,18.074,26.086,16.838,23989.228,8461,0.008461,724,10000,13.812,20260904,0,6,capacity_ws46336_sp64_seq_charnwood_20260910-161412.csv.gz
charnwood,65536,65536,64,sequential,1000,TSC_ticks_per_access,1000000,25.666,51.29945508199999,516.2120143366286,24.568,25.816,1.2479999999999976,24.266,26.136,17.334,20586.046,23382,0.023382,1024,10000,9.766,20260904,0,6,capacity_ws65536_sp64_seq_charnwood_20260910-161412.csv.gz
charnwood,92672,92672,64,sequential,1000,TSC_ticks_per_access,1000000,18.158,37.04946597400001,438.6820121164285,18.072,18.294,0.2220000000000013,17.95,19.894,16.91,20565.98,113024,0.113024,1448,10000,6.906,20260904,0,6,capacity_ws92672_sp64_seq_charnwood_20260910-161412.csv.gz
charnwood,131072,131072,64,sequential,1000,TSC_ticks_per_access,1000000,24.886,47.34476916000003,496.76423373492474,18.126,27.676,9.549999999999997,17.918,28.404,17.498,20552.274,5714,0.005714,2048,10000,4.883,20260904,0,6,capacity_ws131072_sp64_seq_charnwood_20260910-161412.csv.gz
charnwood,185344,185344,64,sequential,1000,TSC_ticks_per_access,1000000,18.376,37.836803528000004,444.46367425794534,18.218,18.638,0.4200000000000017,18.066,20.81,17.184,23922.988,102155,0.102155,2896,10000,3.453,20260904,0,6,capacity_ws185344_sp64_seq_charnwood_20260910-161412.csv.gz
charnwood,262144,262144,64,sequential,1000,TSC_ticks_per_access,1000000,18.976,39.067407622000005,451.14766148677586,18.764,19.266,0.5019999999999989,18.518,21.932,17.664,34153.504,91401,0.091401,4096,10000,2.441,20260904,0,6,capacity_ws262144_sp64_seq_charnwood_20260910-161412.csv.gz
