ece592_inclusion_policy_plan_version=1
generator=SplitMix64+Fisher-Yates
measurement_goal=8.2.7_inclusion_exclusion_behavior
sweep=pressure footprint by pressure source by target footprint
inferred_line_bytes=64
inferred_l1d_bytes=32768
inferred_l2_bytes=262144
inferred_llc_bytes=31457280
inferred_values_are_phase1_timing_only=true
target_bytes_list=8192,65536
helper_cpu_list=5,6
helper_pressure_multipliers=0.125,0.5,0.75,1.0,1.25,1.5,2.0,4.0
accesses_per_sample=1
pressure_passes=1
pressure_order=sequential
requested_samples_per_point=1000000
unique_point_count=42
series_count=8
trial_count=2
plan_seed=592
plan_row_count=84
estimated_wall_clock_seconds=545
data_begin
global_execution_index	trial	trial_execution_index	series_index	plot_index	target_bytes	target_line_spacing_bytes	pressure_source	pressure_bytes	pressure_line_spacing_bytes	pressure_order	pressure_passes	helper_cpu	accesses_per_sample	point_seed
66	1	24	2	10	8192	64	helper	47185920	64	sequential	1	5	1	11415714844060745305
67	1	25	6	32	65536	64	helper	62914560	64	sequential	1	5	1	1202734201606164313
68	1	26	6	28	65536	64	helper	23592960	64	sequential	1	5	1	6214932751659975327
69	1	27	6	27	65536	64	helper	15728640	64	sequential	1	5	1	6626828751311177420
70	1	28	1	4	8192	64	self	62914560	64	sequential	1	-1	1	16180174333321321234
71	1	29	2	11	8192	64	helper	62914560	64	sequential	1	5	1	15997795921708113169
72	1	30	2	7	8192	64	helper	23592960	64	sequential	1	5	1	6737355756448699410
73	1	31	3	19	8192	64	helper	62914560	64	sequential	1	6	1	17021108278388553721
74	1	32	3	13	8192	64	helper	3932160	64	sequential	1	6	1	3247778717039984114
75	1	33	3	14	8192	64	helper	15728640	64	sequential	1	6	1	13520178282929172937
76	1	34	1	1	8192	64	self	65536	64	sequential	1	-1	1	2924300919195460283
77	1	35	2	5	8192	64	helper	3932160	64	sequential	1	5	1	16709330152719439242
78	1	36	7	40	65536	64	helper	62914560	64	sequential	1	6	1	13445627580786951605
79	1	37	5	25	65536	64	self	62914560	64	sequential	1	-1	1	5420380931505438087
80	1	38	1	3	8192	64	self	15728640	64	sequential	1	-1	1	16727796575364645732
81	1	39	5	24	65536	64	self	15728640	64	sequential	1	-1	1	13783832949867650105
82	1	40	3	16	8192	64	helper	31457280	64	sequential	1	6	1	7264380009376754812
83	1	41	1	2	8192	64	self	524288	64	sequential	1	-1	1	14180685577000102500
data_end
