ece592_phase1_machine_summary_version=1
summary_purpose=report_table_for_phase1_freeze
cache_specifications_used=false
cache_labels_assigned=false
summary_script=/mnt/ncsudrive/d/djariwa/ECE-592---Cache-Reverse-Engineering/scripts/make_phase1_summary_table.py
data_begin
machine	capacity_evidence_file	top_capacity_refined_intervals_bytes	capacity_support_statuses	line_size_evidence_file	largest_spatial_jump_offset_window_bytes	largest_spatial_jump_ticks_per_access	associativity_evidence_file	largest_conflict_jump_windows	latency_representatives_file	latency_representative_count	latency_representative_median_range_ticks_per_access	miss_latency_evidence_file	max_next_level_delta_ticks_per_access	max_next_level_ratio	eviction_evidence_file	median_eviction_delta_ticks_per_target	median_eviction_ratio	cache_labels_assigned	phase1_spec_compliance_note
thunderbird	data_processed/thunderbird/capacity/phase1_capacity_evidence_summary_required_v1.tsv	31317480..33554432;1092272..1153432;838872..908776;24606592..25165832	strong-measured-jump;strong-measured-jump;strong-measured-jump;strong-measured-jump	data_processed/thunderbird/line_size/phase1_line_size_spatial_randomized_v1.tsv	56..64	0.0859375	data_processed/thunderbird/associativity/phase1_associativity_conflict_coarse_randomized_v2.tsv	stride32768:4->5;stride65536:4->5;stride16384:4->5;stride8192:8->9;stride8192:9->10	data_processed/thunderbird/latency/phase1_hit_latency_representatives_v1.tsv	24	0.0859375..2.01172	data_processed/thunderbird/latency/phase1_miss_next_level_latency_evidence_v1.tsv	0.320312	1.28772	data_processed/thunderbird/eviction/phase1_eviction_cross_level_randomized_v1.tsv	0.078125	1.83333	false	randomized dependent pointer chasing; 1000000 samples per point; no cache specs used
artemisia	data_processed/artemisia/capacity/phase1_capacity_evidence_summary_v3.tsv	2097152..2236968;36909880..40265320;61176..65544;49160..52440	strong-measured-jump;strong-measured-jump;moderate-measured-jump;strong-measured-jump	data_processed/artemisia/line_size/phase1_line_size_spatial_randomized_v1.tsv	56..64	5.51172	data_processed/artemisia/associativity/phase1_associativity_conflict_coarse_randomized_v1.tsv	stride32768:12->13;stride16384:12->13;stride4096:12->13;stride8192:12->13;stride65536:6->7	data_processed/artemisia/latency/phase1_hit_latency_representatives_v1.tsv	24	5.5625..206.938	data_processed/artemisia/latency/phase1_miss_next_level_latency_evidence_v1.tsv	57.9297	1.38877	data_processed/artemisia/eviction/phase1_eviction_cross_level_randomized_v1.tsv	9.875	2.31683	false	randomized dependent pointer chasing; 1000000 samples per point; no cache specs used
crux	data_processed/crux/capacity/phase1_capacity_evidence_summary_v1.tsv	4613736..4893360;120160..131080;349528..384480;3914696..4194304	strong-measured-jump;strong-measured-jump;moderate-measured-jump;strong-measured-jump	data_processed/crux/line_size/phase1_line_size_spatial_randomized_v1.tsv	120..128	7.55273	data_processed/crux/associativity/phase1_associativity_conflict_coarse_randomized_v1.tsv	stride32768:8->9;stride8192:8->9;stride16384:8->9;stride4096:8->9;stride65536:4->5	data_processed/crux/latency/phase1_hit_latency_representatives_v1.tsv	16	9.43359..106.059	data_processed/crux/latency/phase1_miss_next_level_latency_evidence_v1.tsv	38.2578	1.56427	data_processed/crux/eviction/phase1_eviction_cross_level_randomized_v1.tsv	4.55469	1.71281	false	randomized dependent pointer chasing; 1000000 samples per point; no cache specs used
upgrade	data_processed/upgrade/capacity/phase1_capacity_evidence_summary_v2.tsv	6710896..7270136;192248..209720;340792..367008;11184816..12303296	strong-measured-jump;moderate-measured-jump;strong-measured-jump;strong-measured-jump	data_processed/upgrade/line_size/phase1_line_size_spatial_randomized_v1.tsv	120..128	7.73633	data_processed/upgrade/associativity/phase1_associativity_conflict_coarse_randomized_v1.tsv	stride65536:4->5;stride8192:8->9;stride16384:8->9;stride32768:8->9;stride32768:7->8	data_processed/upgrade/latency/phase1_hit_latency_representatives_v1.tsv	16	13.0586..141.871	data_processed/upgrade/latency/phase1_miss_next_level_latency_evidence_v1.tsv	67.3906	2.40534	data_processed/upgrade/eviction/phase1_eviction_cross_level_randomized_v1.tsv	5.125	1.71849	false	randomized dependent pointer chasing; 1000000 samples per point; no cache specs used
data_end
