ece592_transition_analysis_format_version=1
source_processed_file=/share/ece592f26/djariwa/tmp/ece592_phase3_haswell_capacity_830101/processed/capacity/dense_randomized.tsv
source_processed_sha256=edc74f8c20556954d9bc373d1b77aa106662cfd1afcce88a50842e346849f89f
source_hostname=c207n02
source_isa=x86_64
source_timer_unit=TSC ticks
source_traversal=randomized-dependent-single-cycle
trial_count=2
maximum_repeat_count_per_working_set=4
comparison=adjacent_sorted_actual_span_points
central_value=median_of_repeat_medians
slope=log2(upper_median/lower_median)/log2(upper_span/lower_span)
rank=descending_upward_log2_latency_slope
cache_boundary_labels_assigned=false
timer_overhead_subtracted=false
analysis_script=/home/djariwa/ECE-592---Cache-Reverse-Engineering/scripts/analyze_capacity_transitions.py
analysis_command=scripts/analyze_capacity_transitions.py --input /share/ece592f26/djariwa/tmp/ece592_phase3_haswell_capacity_830101/processed/capacity/dense_randomized.tsv --output /share/ece592f26/djariwa/tmp/ece592_phase3_haswell_capacity_830101/processed/capacity/dense_transitions.tsv
analysis_working_directory=/home/djariwa/ECE-592---Cache-Reverse-Engineering
python_version=3.9.23
data_begin
rank	interval_index	lower_span	upper_span	lower_plot_index	upper_plot_index	lower_median	upper_median	span_ratio	relative_increase	log2_latency_slope	trial_disagreement_fraction
19	0	183504	206440	0	1	13.666015625	15.67578125	1.1249891010550179	0.14706302701157647	1.1649901171101364	0.076175503787337437
44	1	206440	209720	1	2	15.67578125	14.44140625	1.0158883937221468	-0.078744081734363314	-5.2029968181689839	0.029404435584350859
35	2	209720	229376	2	3	14.44140625	14.876953125	1.0937249666221629	0.030159588855829034	0.33166617633432377	0.055533674675068923
43	3	229376	235936	3	4	14.876953125	13.89453125	1.0285993303571428	-0.066036497308651687	-2.4227927436220495	0.055533674675068923
6	4	235936	252312	4	5	13.89453125	16.16015625	1.0694086531940865	0.16305875737981435	2.2509725750439871	0.022238336959149143
41	5	252312	262144	5	6	16.16015625	15.90234375	1.0389676273819715	-0.015953589557650472	-0.42069701590439434	0.17145664455907639
10	6	262144	275256	6	8	15.90234375	17.615234375	1.050018310546875	0.10771309260623929	2.0959360342085249	0.17145664455907639
12	7	275256	288360	8	9	17.615234375	19.142578125	1.0476065916819253	0.086705843219869072	1.787880217969577	0.032547699214365879
2	8	288360	294912	9	10	19.142578125	20.556640625	1.0227215980024968	0.073870013263952705	3.1721183848789876	0.040190023752969123
1	9	294912	298192	10	11	20.556640625	21.376953125	1.0111219618055556	0.039904988123515395	3.5377344883530046	0.040190023752969123
40	10	298192	314576	11	12	21.376953125	21.00390625	1.0549444653109405	-0.017450890817724996	-0.32913758426516143	0.037195462153617256
15	11	314576	321128	12	13	21.00390625	21.748046875	1.0208280351965822	0.03542867770132041	1.6889181234389725	0.037195462153617256
42	12	321128	327680	13	14	21.748046875	21.072265625	1.0204030791460104	-0.031073192635832969	-1.5628593985766774	0.030085316569375842
8	13	327680	340792	14	15	21.072265625	22.927734375	1.0400146484374999	0.088052646213736319	2.1508849142867792	0.004685237243376778
24	14	340792	360448	15	16	22.927734375	24.25	1.0576774102678466	0.057671011159383223	0.9998921064910089	0.008698453608247423
39	15	360448	367008	16	17	24.25	24.26953125	1.0181995738636365	0.00080541237113407327	0.044637985243562397	0.008698453608247423
17	16	367008	393216	17	18	24.26953125	26.46875	1.0714098875228877	0.090616449380331643	1.2575939355010481	0.021989374262101534
34	17	393216	409600	18	20	26.46875	26.990234375	1.0416666666666667	0.019701889020070862	0.47793644433439819	0.021989374262101534
23	18	409600	425984	20	21	26.990234375	28.095703125	1.04	0.040958101165062599	1.0234780796892586	0.0014598540145985401
31	19	425984	458752	21	22	28.095703125	29.451171875	1.0769230769230769	0.048244699339589747	0.63578922767462187	0.0017905696664235029
32	20	458752	491520	22	23	29.451171875	30.732421875	1.0714285714285714	0.043504211154585803	0.61723018936478968	0.0045122338735303462
38	21	491520	20132664	23	24	30.732421875	42.474609375	40.960009765625003	0.38207816968541475	0.087159569037266071	0.0055639858371269602
37	22	20132664	22649248	24	25	42.474609375	43.01171875	1.1250000496705255	0.012645422357106639	0.10668881069366962	0.0055639858371269602
36	23	22649248	23488104	25	26	43.01171875	43.53125	1.0370368146439122	0.012078830260648488	0.33014330235540107	0.010229720028715004
20	24	23488104	25165824	26	27	43.53125	47.046875	1.0714284984432971	0.080760947595118537	1.1257025421687108	0.046496180670873466
3	25	25165824	26424120	27	28	47.046875	54.505859375	1.0500001907348633	0.15854367319827301	3.0162475743455768	0.046496180670873466
7	26	26424120	26843552	28	29	54.505859375	56.462890625	1.0158730735403867	0.035904970079191578	2.2399342881168973	0.025047479127100727
9	27	26843552	27682408	29	30	56.462890625	60.224609375	1.0312498137355295	0.066622851015254669	2.0960138158756685	0.018388195232690124
5	28	27682408	29360128	30	31	60.224609375	69.544921875	1.0606059993046848	0.15475920220528616	2.4454581552945602	0.018388195232690124
4	29	29360128	30198992	31	32	69.544921875	74.552734375	1.0285715375627791	0.072008312972168476	2.4682779947116589	0.0041130701317754316
11	30	30198992	32296144	32	33	74.552734375	85.044921875	1.0694444370858471	0.14073511304393382	1.961189623987933	0.0041130701317754316
25	31	32296144	32715576	33	34	85.044921875	86.046875	1.0129870612417384	0.011781457409916651	0.90771027319407416	0.0037679317232613037
13	32	32715576	33554432	34	35	86.046875	89.873046875	1.0256408751598933	0.044466134011258429	1.7184003638789096	0.0037679317232613037
16	33	33554432	35232160	35	36	89.873046875	96.4140625	1.0500001907348633	0.072780615016842409	1.4399156660398047	0.0014180374361883153
18	34	35232160	36700160	36	37	96.4140625	101.474609375	1.0416664774456066	0.052487642816627433	1.2531669252187465	0.0019824848426522952
14	35	36700160	36909880	37	38	101.474609375	102.46484375	1.0057144165039062	0.0097584448080070274	1.7042613328381042	0.0032023178681712477
27	36	36909880	38168168	38	39	102.46484375	105.25390625	1.0340908179598525	0.027219701879455549	0.801126130261134	0.0032023178681712477
22	37	38168168	40265320	39	40	105.25390625	111.333984375	1.0549450526417721	0.057765819261458518	1.049922398108623	0.0023682964054523446
21	38	40265320	41104184	40	41	111.333984375	113.81640625	1.0208334119783475	0.022297072083925507	1.0694862590964194	0.0023682964054523446
28	39	41104184	41943040	41	42	113.81640625	115.4921875	1.0204080441056804	0.014723547379620339	0.72348188474627129	0.0025028749238990731
26	40	41943040	43620760	42	43	115.4921875	119.466796875	1.0399999618530273	0.034414530203612292	0.86269790341239261	0.0025028749238990731
29	41	43620760	46976208	43	44	119.466796875	125.78515625	1.0769231897839469	0.052887995160789236	0.69542838304084142	0.0034781528523958882
30	42	46976208	50331648	44	45	125.78515625	131.48046875	1.0714284984432971	0.045278096953510705	0.64184913988138892	0.0034781528523958882
33	43	50331648	52428800	45	46	131.48046875	134.673828125	1.0416666666666667	0.024287709082266185	0.58785596677625762	0.0012907342682696909
data_end
