ece592_latency_selection_format_version=1
selection_purpose=8.2.5_hit_latency_distribution_evidence
cache_boundary_labels_assigned=false
timer_overhead_subtracted=false
source_processed_capacity_file=/mnt/ncsudrive/d/djariwa/ECE-592---Cache-Reverse-Engineering/data_processed/thunderbird/capacity/phase1_capacity_dense_transition_randomized_v1.tsv
source_processed_capacity_sha256=30d93ed3bf62ead182650ce7e049e0c0f90087b59cc2d491bf8b1502ea45ff9f
source_capacity_evidence_file=/mnt/ncsudrive/d/djariwa/ECE-592---Cache-Reverse-Engineering/data_processed/thunderbird/capacity/phase1_capacity_evidence_summary_required_v1.tsv
source_capacity_evidence_sha256=ffa55dc0b6d5ef7692dfabe3aae5db0824b900363ab311a9d08de23aa2c1e3f2
source_raw_hostname=thunderbird.ece.ncsu.edu
source_raw_isa=aarch64
source_raw_timer_unit=generic-timer ticks
source_raw_traversal=randomized-dependent-single-cycle
source_raw_timed_sample_count=1000000
source_evidence_scope=coarse_and_dense_randomized_dependent_pointer_chasing
selection_rule=nearest measured points below near and above each refined timing boundary
selection_script=/mnt/ncsudrive/d/djariwa/ECE-592---Cache-Reverse-Engineering/scripts/select_latency_points.py
selection_command=scripts/select_latency_points.py --processed-capacity data_processed/thunderbird/capacity/phase1_capacity_dense_transition_randomized_v1.tsv --capacity-evidence data_processed/thunderbird/capacity/phase1_capacity_evidence_summary_required_v1.tsv --top-count 6 --output data_processed/thunderbird/latency/phase1_hit_latency_representatives_v1.tsv
selection_working_directory=/mnt/ncsudrive/d/djariwa/ECE-592---Cache-Reverse-Engineering
python_version=3.9.25
selected_point_count=24
data_begin
evidence_rank	dense_refined_interval_bytes	dense_support_status	point_role	actual_span_bytes	trial	raw_filename	raw_sha256	timed_sample_count	dependent_accesses_per_sample	elapsed_raw_ticks_per_access_unadjusted_mean	elapsed_raw_ticks_per_access_unadjusted_population_stddev	elapsed_raw_ticks_per_access_unadjusted_minimum	elapsed_raw_ticks_per_access_unadjusted_p05	elapsed_raw_ticks_per_access_unadjusted_q1	elapsed_raw_ticks_per_access_unadjusted_median	elapsed_raw_ticks_per_access_unadjusted_q3	elapsed_raw_ticks_per_access_unadjusted_p95	elapsed_raw_ticks_per_access_unadjusted_maximum	elapsed_raw_ticks_per_access_unadjusted_outlier_count	timer_overhead_raw_ticks_median
3	838872..908776	strong-measured-jump	near_refined_upper_edge	908776	0	thunderbird_capacity_trial000_exec0006_plot0016_span00000000000000908776_seed14374643300117216781.tsv	26627a6cfb0fb7da51093a716ef13fe9af42725ac44b61938f3453e063e373cd	1000000	256	0.26435907031249839	0.022267294842097687	0.20703125	0.2421875	0.25390625	0.265625	0.2734375	0.2890625	6.02734375	7746	1
3	838872..908776	strong-measured-jump	above_refined_interval	943720	0	thunderbird_capacity_trial000_exec0035_plot0017_span00000000000000943720_seed15386459337959062621.tsv	85ea813fb4fc1e12835a403e5689aa8ab8183a1e354b3347954f635354dabec8	1000000	256	0.27613005468749019	0.025362279785633657	0.20703125	0.25	0.265625	0.27734375	0.28515625	0.30078125	9.5703125	14371	1
4	24606592..25165832	strong-measured-jump	below_refined_interval	22369632	1	thunderbird_capacity_trial001_exec0008_plot0032_span00000000000022369632_seed08621762555539508531.tsv	741540c9dd79121e865ee85cdc6d09a830ee436603fed3a5e3a6eeae20ad02fe	1000000	256	1.1183683828125492	0.071998830688557044	0.9140625	1.03515625	1.078125	1.11328125	1.1484375	1.21484375	19.14453125	19567	1
4	24606592..25165832	strong-measured-jump	near_refined_lower_edge	24606592	0	thunderbird_capacity_trial000_exec0010_plot0033_span00000000000024606592_seed12391261869065405985.tsv	552655cccc10c002cbc1dcd11dd32d86792cc29783c9d30b5506df5a690793a1	1000000	256	1.3475431289062429	0.086275607998590909	1.06640625	1.2421875	1.30078125	1.34375	1.38671875	1.46484375	20.2890625	17960	1
4	24606592..25165832	strong-measured-jump	near_refined_upper_edge	25165832	0	thunderbird_capacity_trial000_exec0023_plot0034_span00000000000025165832_seed17375269674984280752.tsv	d94a146407dce7c867ee7361cede14c1e5c9968e6e06a155eaa6ec86032d38ca	1000000	256	1.6872922812500188	0.28069840354868031	1.41015625	1.58984375	1.64453125	1.68359375	1.7265625	1.79296875	270.859375	10812	1
4	24606592..25165832	strong-measured-jump	above_refined_interval	26843552	0	thunderbird_capacity_trial000_exec0045_plot0035_span00000000000026843552_seed17338219176086152457.tsv	136e3105a0ef35d1004fb3a3da4c8cd830af422b14f9c1e35178d60148144056	1000000	256	1.4377010390625027	0.093544743669320515	1.1484375	1.328125	1.38671875	1.43359375	1.48046875	1.55859375	18.921875	12993	1
5	36909880..39146848	strong-measured-jump	below_refined_interval	36350640	1	thunderbird_capacity_trial001_exec0053_plot0046_span00000000000036350640_seed12138832286380717928.tsv	57ba5e833afcc9a455419af3ccaf91156e6a2c6e2d1abd0b9541b4b6432689f5	1000000	256	2.0146849726562777	0.1355560851079684	1.73046875	1.90234375	1.96484375	2.01171875	2.05859375	2.1328125	100.50390625	9298	1
5	36909880..39146848	strong-measured-jump	near_refined_lower_edge	36909880	0	thunderbird_capacity_trial000_exec0014_plot0047_span00000000000036909880_seed14452590975459497785.tsv	e7eaa8ba0ae79d174b1a2a87dbc00fe25ed8f386638166e3939c44c351dc921f	1000000	256	1.84498092968748	0.084833138494410432	1.5625	1.734375	1.796875	1.83984375	1.890625	1.9609375	20.46484375	7878	1
5	36909880..39146848	strong-measured-jump	near_refined_upper_edge	39146848	0	thunderbird_capacity_trial000_exec0017_plot0048_span00000000000039146848_seed16938003583024339219.tsv	9d6d9767b17f358743aa95eddd95fc7c259930a70ef6f117c6fd162ebf526edb	1000000	256	2.0407299648437984	0.31806333427355432	1.48046875	1.80859375	1.90625	2.00390625	2.16796875	2.34375	264.2109375	1211	1
5	36909880..39146848	strong-measured-jump	above_refined_interval	40265320	0	thunderbird_capacity_trial000_exec0052_plot0049_span00000000000040265320_seed03915930952413831188.tsv	b384b184c085b99b515672089737d3c2701a005135f65855025883e4b0c032d4	1000000	256	1.8734037617186463	0.098291563822073075	1.59765625	1.76171875	1.82421875	1.87109375	1.91796875	1.9921875	42.02734375	8401	1
6	65536..72088	strong-measured-jump	below_refined_interval	58984	1	thunderbird_capacity_trial001_exec0006_plot0001_span00000000000000058984_seed06251409069043951132.tsv	134d8406cebe63f44b5cd682e564543a7d325562df3e17b09dd718a9161f223e	1000000	256	0.085718535156250872	0.020521638507891498	0.078125	0.08203125	0.0859375	0.0859375	0.0859375	0.08984375	18.60546875	224277	1
6	65536..72088	strong-measured-jump	near_refined_lower_edge	65536	0	thunderbird_capacity_trial000_exec0003_plot0002_span00000000000000065536_seed00992952318489933469.tsv	a56ed82f30cdae729835a0d3163d1e6773ad276b7e3a80799e37fb3ceb459d76	1000000	256	0.087031945312498984	0.014347546330232819	0.08203125	0.0859375	0.0859375	0.0859375	0.08984375	0.08984375	10.97265625	3113	1
6	65536..72088	strong-measured-jump	near_refined_upper_edge	72088	0	thunderbird_capacity_trial000_exec0038_plot0003_span00000000000000072088_seed05277196578708125327.tsv	35597f6356dea6ef7c5dfa46e3241a5ad9acfe16c66651e04ac80fee7c5532a2	1000000	256	0.095436968750001572	0.010836859446675074	0.0859375	0.09375	0.09375	0.09375	0.09765625	0.09765625	6.00390625	1411	1
6	65536..72088	strong-measured-jump	above_refined_interval	78648	0	thunderbird_capacity_trial000_exec0024_plot0004_span00000000000000078648_seed16773244394471792033.tsv	a7e44afeb485dcf01f43588ba7898fcd40e2e41c9cf09220d957abed513b5b8f	1000000	256	0.10115149218749857	0.011385820995696065	0.08984375	0.09765625	0.1015625	0.1015625	0.1015625	0.10546875	5.6796875	380490	1
data_end
