machine,working_set_bytes,footprint_bytes,node_spacing_bytes,traversal_order,N_per_batch,unit,n_samples,median,mean,sd,q1,q3,iqr,p5,p95,min,max,n_outliers,outlier_fraction,num_nodes,warmup_steps,warmup_laps,seed,migrated_excluded,logical_cpu,source_raw_file
charnwood,131072,131072,64,randomized,1000,TSC_ticks_per_access,1000000,23.61,48.087536592000006,500.86320396022046,23.094,23.884,0.7899999999999991,22.54,24.82,17.202,27414.786,61061,0.061061,2048,10000,4.883,20260904,0,6,capacity_ws131072_sp64_rand_charnwood_20260910-183600.csv.gz
charnwood,142912,142912,64,randomized,1000,TSC_ticks_per_access,1000000,24.926,50.718225643999986,522.5422782701108,24.702,25.122,0.41999999999999815,23.98,25.446,19.922,27325.232,92602,0.092602,2233,10000,4.478,20260904,0,6,capacity_ws142912_sp64_rand_charnwood_20260910-183600.csv.gz
charnwood,155840,155840,64,randomized,1000,TSC_ticks_per_access,1000000,24.55,49.719132412000015,509.90989211458924,23.986,24.796,0.8099999999999987,23.53,25.192,22.788,27336.452,30092,0.030092,2435,10000,4.107,20260904,0,6,capacity_ws155840_sp64_rand_charnwood_20260910-183600.csv.gz
charnwood,169920,169920,64,randomized,1000,TSC_ticks_per_access,1000000,23.936,48.43329376199999,500.7113839491878,23.762,24.096,0.33399999999999963,23.028,24.402,18.782,23937.006,133062,0.133062,2655,10000,3.766,20260904,0,6,capacity_ws169920_sp64_rand_charnwood_20260910-183600.csv.gz
charnwood,185344,185344,64,randomized,1000,TSC_ticks_per_access,1000000,43.042,86.660073172,671.1820857169245,42.466,43.562,1.0959999999999965,37.746,45.576,26.602,20598.938,162716,0.162716,2896,10000,3.453,20260904,0,6,capacity_ws185344_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,185344,185344,64,randomized,1000,TSC_ticks_per_access,1000000,24.958,50.64218204200001,511.96525702509854,24.448,25.406,0.9579999999999984,23.936,25.954,19.596,20518.68,30565,0.030565,2896,10000,3.453,20260904,0,6,capacity_ws185344_sp64_rand_charnwood_20260910-183600.csv.gz
charnwood,202112,202112,64,randomized,1000,TSC_ticks_per_access,1000000,32.522,65.68383391,583.0477641726891,32.21,32.808,0.597999999999999,31.308,33.448,25.482,20533.92,92886,0.092886,3158,10000,3.167,20260904,0,6,capacity_ws202112_sp64_rand_charnwood_20260910-183600.csv.gz
charnwood,220416,220416,64,randomized,1000,TSC_ticks_per_access,1000000,29.43,60.258164457999996,560.9712138690585,29.022,29.838,0.8160000000000025,28.15,31.668,21.674,20607.412,85941,0.085941,3444,10000,2.904,20260904,0,6,capacity_ws220416_sp64_rand_charnwood_20260910-183600.csv.gz
charnwood,240320,240320,64,randomized,1000,TSC_ticks_per_access,1000000,28.12,58.955607199999996,554.2202200819607,27.548,28.916,1.368000000000002,26.344,37.986,20.832,30765.702,117716,0.117716,3755,10000,2.663,20260904,0,6,capacity_ws240320_sp64_rand_charnwood_20260910-183600.csv.gz
charnwood,262080,262080,64,randomized,1000,TSC_ticks_per_access,1000000,32.77,66.336808874,585.7197875185886,32.392,33.156,0.7639999999999958,31.508,34.384,24.156,30743.49,78754,0.078754,4095,10000,2.442,20260904,0,6,capacity_ws262080_sp64_rand_charnwood_20260910-183600.csv.gz
