global_execution_index	trial	trial_execution_index	series_index	plot_index	target_bytes	target_line_spacing_bytes	pressure_source	pressure_bytes	pressure_line_spacing_bytes	pressure_order	pressure_passes	helper_cpu	accesses_per_sample	point_seed	output_filename	status	return_code
23	0	23	6	31	65536	64	helper	47185920	64	sequential	1	5	1	20332897215584561	ookay_inclusionpolicy_trial000_exec0023_series06_plot0031_target0000065536_helper_pressure000047185920_helper005_seed00020332897215584561.tsv.gz	complete	0
24	0	24	3	14	8192	64	helper	15728640	64	sequential	1	6	1	14407615525623653843	ookay_inclusionpolicy_trial000_exec0024_series03_plot0014_target0000008192_helper_pressure000015728640_helper006_seed14407615525623653843.tsv.gz	complete	0
25	0	25	5	24	65536	64	self	15728640	64	sequential	1	-1	1	8663107171040240532	ookay_inclusionpolicy_trial000_exec0025_series05_plot0024_target0000065536_self_pressure000015728640_helper999_seed08663107171040240532.tsv.gz	complete	0
26	0	26	3	13	8192	64	helper	3932160	64	sequential	1	6	1	15447344493715368280	ookay_inclusionpolicy_trial000_exec0026_series03_plot0013_target0000008192_helper_pressure000003932160_helper006_seed15447344493715368280.tsv.gz	complete	0
27	0	27	5	23	65536	64	self	524288	64	sequential	1	-1	1	1218944777096668954	ookay_inclusionpolicy_trial000_exec0027_series05_plot0023_target0000065536_self_pressure000000524288_helper999_seed01218944777096668954.tsv.gz	complete	0
28	0	28	6	29	65536	64	helper	31457280	64	sequential	1	5	1	7866650835682345380	ookay_inclusionpolicy_trial000_exec0028_series06_plot0029_target0000065536_helper_pressure000031457280_helper005_seed07866650835682345380.tsv.gz	complete	0
29	0	29	0	0	8192	64	none	0	64	sequential	0	-1	1	13434040110859652870	ookay_inclusionpolicy_trial000_exec0029_series00_plot0000_target0000008192_none_pressure000000000000_helper999_seed13434040110859652870.tsv.gz	complete	0
30	0	30	1	2	8192	64	self	524288	64	sequential	1	-1	1	5454329148859750283	ookay_inclusionpolicy_trial000_exec0030_series01_plot0002_target0000008192_self_pressure000000524288_helper999_seed05454329148859750283.tsv.gz	complete	0
31	0	31	6	28	65536	64	helper	23592960	64	sequential	1	5	1	13199797434642311244	ookay_inclusionpolicy_trial000_exec0031_series06_plot0028_target0000065536_helper_pressure000023592960_helper005_seed13199797434642311244.tsv.gz	complete	0
32	0	32	2	9	8192	64	helper	39321600	64	sequential	1	5	1	3766617846658164448	ookay_inclusionpolicy_trial000_exec0032_series02_plot0009_target0000008192_helper_pressure000039321600_helper005_seed03766617846658164448.tsv.gz	complete	0
33	0	33	7	35	65536	64	helper	15728640	64	sequential	1	6	1	14369905473468274504	ookay_inclusionpolicy_trial000_exec0033_series07_plot0035_target0000065536_helper_pressure000015728640_helper006_seed14369905473468274504.tsv.gz	complete	0
34	0	34	2	8	8192	64	helper	31457280	64	sequential	1	5	1	6408941002793262312	ookay_inclusionpolicy_trial000_exec0034_series02_plot0008_target0000008192_helper_pressure000031457280_helper005_seed06408941002793262312.tsv.gz	complete	0
35	0	35	3	16	8192	64	helper	31457280	64	sequential	1	6	1	5738319116736676372	ookay_inclusionpolicy_trial000_exec0035_series03_plot0016_target0000008192_helper_pressure000031457280_helper006_seed05738319116736676372.tsv.gz	complete	0
36	0	36	3	17	8192	64	helper	39321600	64	sequential	1	6	1	12281029656598767335	ookay_inclusionpolicy_trial000_exec0036_series03_plot0017_target0000008192_helper_pressure000039321600_helper006_seed12281029656598767335.tsv.gz	complete	0
37	0	37	3	20	8192	64	helper	125829120	64	sequential	1	6	1	429222421991553862	ookay_inclusionpolicy_trial000_exec0037_series03_plot0020_target0000008192_helper_pressure000125829120_helper006_seed00429222421991553862.tsv.gz	complete	0
38	0	38	1	1	8192	64	self	65536	64	sequential	1	-1	1	4486159773690201395	ookay_inclusionpolicy_trial000_exec0038_series01_plot0001_target0000008192_self_pressure000000065536_helper999_seed04486159773690201395.tsv.gz	complete	0
