machine,working_set_bytes,footprint_bytes,node_spacing_bytes,traversal_order,N_per_batch,unit,n_samples,median,mean,sd,q1,q3,iqr,p5,p95,min,max,n_outliers,outlier_fraction,num_nodes,warmup_steps,warmup_laps,seed,migrated_excluded,logical_cpu,source_raw_file
sunbird,741440,741440,64,randomized,1000,TSC_ticks_per_access,1000000,52.792,52.97266441699999,1.2069508605396617,52.596,53.016,0.4200000000000017,52.372,53.312,51.976,95.615,23921,0.023921,11585,11585,1.000,20260904,0,4125,capacity_ws741440_sp64_rand_sunbird_20260910-021306.csv.gz
sunbird,1048576,1048576,64,randomized,1000,TSC_ticks_per_access,1000000,54.86,55.01653567199999,1.2252344534875657,54.668,55.048,0.38000000000000256,54.36,55.268,53.984,101.468,26344,0.026344,16384,16384,1.000,20260904,0,4125,capacity_ws1048576_sp64_rand_sunbird_20260910-021306.csv.gz
sunbird,1482880,1482880,64,randomized,1000,TSC_ticks_per_access,1000000,55.392,55.53398627099998,1.2316270399920914,55.176,55.552,0.37599999999999767,54.884,55.788,54.448,136.412,27512,0.027512,23170,23170,1.000,20260904,0,4125,capacity_ws1482880_sp64_rand_sunbird_20260910-021306.csv.gz
sunbird,2097152,2097152,64,randomized,1000,TSC_ticks_per_access,1000000,48.792,48.956455019999986,1.1542092489067093,48.6,49.004,0.40399999999999636,48.372,49.308,47.884,97.116,23692,0.023692,32768,32768,1.000,20260904,0,4125,capacity_ws2097152_sp64_rand_sunbird_20260910-021306.csv.gz
sunbird,2965760,2965760,64,randomized,1000,TSC_ticks_per_access,1000000,50.46,50.62038530399999,1.195496342251339,50.248,50.66,0.41199999999999903,49.956,51.028,49.62,102.445,25308,0.025308,46340,46340,1.000,20260904,0,4125,capacity_ws2965760_sp64_rand_sunbird_20260910-021306.csv.gz
sunbird,4194304,4194304,64,randomized,1000,TSC_ticks_per_access,1000000,48.804,48.96872301400001,1.1386185781028793,48.64,49.004,0.3639999999999972,48.392,49.3,48.132,101.872,21559,0.021559,65536,65536,1.000,20260904,0,4125,capacity_ws4194304_sp64_rand_sunbird_20260910-021306.csv.gz
sunbird,5931584,5931584,64,randomized,1000,TSC_ticks_per_access,1000000,50.764,50.93688518400001,1.1638538080682523,50.604,50.944,0.3400000000000034,50.376,51.296,49.948,118.068,27888,0.027888,92681,92681,1.000,20260904,0,4125,capacity_ws5931584_sp64_rand_sunbird_20260910-021306.csv.gz
sunbird,8388608,8388608,64,randomized,1000,TSC_ticks_per_access,1000000,48.812,48.96413271000001,1.1304105172396413,48.636,49.008,0.3719999999999999,48.36,49.284,47.9,110.644,23286,0.023286,131072,131072,1.000,20260904,0,4125,capacity_ws8388608_sp64_rand_sunbird_20260910-021306.csv.gz
sunbird,11863232,11863232,64,randomized,1000,TSC_ticks_per_access,1000000,49.584,49.730805511999996,1.1457159140744155,49.404,49.76,0.35599999999999454,49.14,50.048,48.648,129.68,27013,0.027013,185363,185363,1.000,20260904,0,4125,capacity_ws11863232_sp64_rand_sunbird_20260910-021306.csv.gz
sunbird,16777216,16777216,64,randomized,1000,TSC_ticks_per_access,1000000,48.816,48.969505193,1.1325294177706444,48.652,48.996,0.3440000000000012,48.428,49.26,47.892,138.916,24529,0.024529,262144,262144,1.000,20260904,0,4125,capacity_ws16777216_sp64_rand_sunbird_20260910-021306.csv.gz
sunbird,23726528,23726528,64,randomized,1000,TSC_ticks_per_access,1000000,48.976,49.59306782799999,6.81342062369585,48.8,49.172,0.3719999999999999,48.54,49.608,48.088,237.792,42872,0.042872,370727,370727,1.000,20260904,0,4125,capacity_ws23726528_sp64_rand_sunbird_20260910-021306.csv.gz
sunbird,33554432,33554432,64,randomized,1000,TSC_ticks_per_access,1000000,92.432,97.33470792799996,18.64577762959854,86.288,101.4,15.112000000000009,80.64,134.548,60.012,314.5,71632,0.071632,524288,524288,1.000,20260904,0,4125,capacity_ws33554432_sp64_rand_sunbird_20260910-021306.csv.gz
sunbird,47453120,47453120,64,randomized,1000,TSC_ticks_per_access,1000000,173.168,174.701889676,7.176552486971317,170.668,176.608,5.939999999999998,167.48,185.772,134.476,387.176,51908,0.051908,741455,741455,1.000,20260904,0,4125,capacity_ws47453120_sp64_rand_sunbird_20260910-021306.csv.gz
sunbird,67108864,67108864,64,randomized,1000,TSC_ticks_per_access,1000000,208.292,208.7678035,2.771968368240227,207.18,209.46,2.280000000000001,205.636,215.636,201.392,404.316,85106,0.085106,1048576,1048576,1.000,20260904,0,4125,capacity_ws67108864_sp64_rand_sunbird_20260910-021306.csv.gz
sunbird,94906240,94906240,64,randomized,1000,TSC_ticks_per_access,1000000,211.16,211.611953332,2.739645350882983,210.088,212.264,2.176000000000016,208.508,218.34,203.732,468.984,86624,0.086624,1482910,1482910,1.000,20260904,0,4125,capacity_ws94906240_sp64_rand_sunbird_20260910-021306.csv.gz
sunbird,134217728,134217728,64,randomized,1000,TSC_ticks_per_access,1000000,212.996,213.457308728,2.7228992312230806,211.98,214.052,2.0720000000000027,210.42,220.132,206.136,506.728,90053,0.090053,2097152,2097152,1.000,20260904,0,4125,capacity_ws134217728_sp64_rand_sunbird_20260910-021306.csv.gz
