source_raw_file,unit,n_samples,median,mean,sd,q1,q3,p5,p95,min,max,n_outliers
timer_overhead_sunbird_20260910-021306.csv.gz,TSC_ticks_per_empty_bracket,1000000,59.0,64.589028,82.84792919436545,56.0,70.0,56.0,85.0,52.0,31955.0,10422
timer_overhead_sunbird_20260910-032936.csv.gz,TSC_ticks_per_empty_bracket,1000000,64.0,69.385973,555.8136388022918,56.0,75.0,56.0,100.0,52.0,547494.0,44147
